Year,Measurements
1989,42
1990,36
1991,35
1992,45
1993,28
1994,58
1995,34
1996,45.5
1997,44.5
1998,34.5
1999,43
2000,36.7
2001,39
2002,48
2003,47.5
2004,35
2005,36
2006,34.5
2007,48.7
2008,47.5
2009,43.75
2010,50.4
2011,41.5
2012,41.3
2013,47.2
2014,40.2
2015,35.7
2016,35.7
2017,39.7
2018,26.5
2019,25.3
2020,34.5
2021,42.3
2022,32.4
2023,30.6
